,UNIQUE_ID,county,precinct,total_uss,total_gov
1314,121-10H1,Fulton,10H1,98,97
1315,121-10H2,Fulton,10H2,406,409
1316,121-10I,Fulton,10I,145,148
1317,121-10J,Fulton,10J,175,176
1318,121-10K,Fulton,10K,475,471
1319,121-10M,Fulton,10M,677,672
1320,121-10P,Fulton,10P,244,247
1321,121-10R,Fulton,10R,102,107
1322,121-11B,Fulton,11B,955,954
1323,121-11B1,Fulton,11B1,289,287
1324,121-11B2,Fulton,11B2,38,39
1325,121-11C,Fulton,11C,333,332
1326,121-11C2,Fulton,11C2,571,575
1327,121-11C3,Fulton,11C3,250,252
1328,121-11G,Fulton,11G,309,319
1329,121-11H,Fulton,11H,162,164
1330,121-11J,Fulton,11J,490,488
1331,121-11K,Fulton,11K,569,568
1332,121-11M,Fulton,11M,398,395
1333,121-11M1,Fulton,11M1,307,305
1334,121-11N,Fulton,11N,731,728
1335,121-11P,Fulton,11P,393,404
1336,121-11R,Fulton,11R,212,212
1337,121-12A,Fulton,12A,964,973
1338,121-12A1,Fulton,12A1,325,321
1339,121-12D,Fulton,12D,180,176
1340,121-12F,Fulton,12F,152,153
1341,121-12G,Fulton,12G,147,152
1342,121-12H1,Fulton,12H1,74,74
1343,121-12H2,Fulton,12H2,541,535
1344,121-12I,Fulton,12I,171,177
1345,121-12J,Fulton,12J,420,414
1346,121-12K,Fulton,12K,498,493
1347,121-12L,Fulton,12L,83,83
1348,121-12M,Fulton,12M,435,432
1349,121-12N,Fulton,12N,101,105
1350,121-12S,Fulton,12S,375,376
1351,121-AP01A,Fulton,AP01A,1200,1229
1352,121-AP01B,Fulton,AP01B,241,248
1353,121-AP01C,Fulton,AP01C,612,632
1354,121-AP01D,Fulton,AP01D,201,202
1355,121-AP021,Fulton,AP021,889,915
1356,121-AP022,Fulton,AP022,441,445
1357,121-AP023,Fulton,AP023,150,151
1358,121-AP02B,Fulton,AP02B,128,136
1359,121-AP03,Fulton,AP03,84,82
1360,121-AP04A,Fulton,AP04A,573,582
1361,121-AP04B,Fulton,AP04B,112,113
1362,121-AP05,Fulton,AP05,1390,1419
1363,121-AP06,Fulton,AP06,561,572
1364,121-AP07A,Fulton,AP07A,1003,1011
1365,121-AP07B,Fulton,AP07B,278,283
1366,121-AP07C,Fulton,AP07C,194,199
1367,121-AP09A,Fulton,AP09A,1086,1110
1368,121-AP09B,Fulton,AP09B,174,179
1369,121-AP10,Fulton,AP10,287,293
1370,121-AP12A,Fulton,AP12A,115,112
1371,121-AP12B,Fulton,AP12B,153,155
1372,121-AP12C,Fulton,AP12C,641,656
1373,121-AP12D,Fulton,AP12D,0,0
1374,121-AP14,Fulton,AP14,85,85
1375,121-AP14A,Fulton,AP14A,776,794
1376,121-CH01,Fulton,CH01,67,67
1377,121-CH02,Fulton,CH02,120,120
1378,121-CH03,Fulton,CH03,146,145
1379,121-CH04A,Fulton,CH04A,258,263
1380,121-CH04B,Fulton,CH04B,0,0
1381,121-CH05,Fulton,CH05,150,152
1382,121-CP011,Fulton,CP011,274,277
1383,121-CP012,Fulton,CP012,395,395
1384,121-CP01B,Fulton,CP01B,104,105
1385,121-CP02,Fulton,CP02,268,267
1386,121-CP04A,Fulton,CP04A,0,0
1387,121-CP04B,Fulton,CP04B,7,7
1388,121-CP051,Fulton,CP051,59,60
1389,121-CP052,Fulton,CP052,0,0
1390,121-CP053,Fulton,CP053,1,1
1391,121-CP05B,Fulton,CP05B,18,18
1392,121-CP05C,Fulton,CP05C,413,403
1393,121-CP06A,Fulton,CP06A,32,34
